2011-10-27 23:23:19,608 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,608 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,608 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-12-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,609 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-12-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,609 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-12-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,610 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,610 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,610 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,610 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:19,611 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,427 [Sollentunahem]  Number of registered apartmants: 0
